City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pavlohrad,48.5167,35.8667,75.2,41,0,11.18,UA,05-14-2021
Kenai,60.5544,-151.2583,35.6,87,1,4.83,US,05-14-2021
Barranca,-10.75,-77.7667,66.99,76,83,6.98,PE,05-14-2021
Caravelas,-17.7125,-39.2481,74.75,82,47,11.32,BR,05-14-2021
Salalah,17.0151,54.0924,86.0,79,75,9.22,OM,05-14-2021
Sidhi,24.4167,81.8833,93.13,23,69,3.02,IN,05-14-2021
Vadodara,22.3,73.2,96.8,38,68,9.01,IN,05-14-2021
Bowen,-20.0167,148.2333,59.0,94,4,4.61,AU,05-14-2021
Carnarvon,-24.8667,113.6333,69.8,83,0,5.75,AU,05-14-2021
Vostok,46.4856,135.8833,50.34,50,100,5.84,RU,05-14-2021
Banjarmasin,-3.3244,114.591,78.8,94,20,3.44,ID,05-14-2021
Faanui,-16.4833,-151.75,82.02,74,100,12.88,PF,05-14-2021
Alta Floresta,-9.8756,-56.0861,87.8,58,0,2.3,BR,05-14-2021
Broome,42.2506,-75.833,62.01,47,1,3.44,US,05-14-2021
Beyneu,45.3167,55.2,86.07,16,0,13.56,KZ,05-14-2021
Podujevo,42.9106,21.1931,60.8,55,40,11.5,XK,05-14-2021
Waipawa,-41.4122,175.5153,55.99,82,75,17.27,NZ,05-14-2021
Dubovskoye,47.4092,42.7575,78.08,61,39,7.45,RU,05-14-2021
Antofagasta,-23.65,-70.4,71.01,82,90,5.75,CL,05-14-2021
Durango,24.8333,-104.8333,62.55,64,65,2.75,MX,05-14-2021
Constantine,36.365,6.6147,73.4,43,20,18.41,DZ,05-14-2021
Samarai,-10.6167,150.6667,81.77,81,97,8.63,PG,05-14-2021
College,64.8569,-147.8028,46.0,70,40,8.05,US,05-14-2021
Buraidah,26.326,43.975,102.2,15,0,6.91,SA,05-14-2021
Nadym,65.5333,72.5167,37.89,79,56,18.5,RU,05-14-2021
Oktyabr'skiy,54.4815,53.471,74.52,46,23,7.02,RU,05-14-2021
Fernley,39.608,-119.2518,64.99,23,21,8.01,US,05-14-2021
Salekhard,66.53,66.6019,39.15,72,93,14.65,RU,05-14-2021
Baie-Comeau,49.2168,-68.1489,51.8,43,20,8.05,CA,05-14-2021
Tangier,35.7806,-5.8137,68.0,60,40,10.36,MA,05-14-2021
Porto-Novo,6.4965,2.6036,89.6,66,40,9.22,BJ,05-14-2021
Yunyang,33.4474,112.7142,69.55,93,100,4.59,CN,05-14-2021
Mouzourás,35.5333,24.15,73.4,49,0,9.22,GR,05-14-2021
Motygino,58.1831,94.7592,36.46,73,32,7.49,RU,05-14-2021
Kimbe,-5.5502,150.1429,76.75,92,6,4.12,PG,05-14-2021
Khorramshahr,30.4397,48.1664,109.4,8,2,6.91,IR,05-14-2021
Magistral'nyy,56.1725,107.4458,41.47,58,9,4.45,RU,05-14-2021
Polyarny,69.1989,33.4478,37.4,87,75,11.18,RU,05-14-2021
Namatanai,-3.6667,152.4333,80.58,79,5,7.92,PG,05-14-2021
Kloulklubed,7.0419,134.2556,78.8,94,90,8.05,PW,05-14-2021
Kaitangata,-46.2817,169.8464,46.42,68,100,6.51,NZ,05-14-2021
Mastic Beach,40.7668,-72.8521,69.8,30,1,5.75,US,05-14-2021
Marion,39.7684,-86.1555,66.0,36,1,4.61,US,05-14-2021
Bridlington,54.0831,-0.1919,48.99,80,100,6.02,GB,05-14-2021
Am Timan,11.0297,20.2827,97.47,27,64,2.77,TD,05-14-2021
Deputatsky,69.3,139.9,12.7,83,65,3.31,RU,05-14-2021
Khovd,48.0056,91.6419,53.8,41,99,3.4,MN,05-14-2021
Srednekolymsk,67.45,153.6833,26.15,95,100,4.45,RU,05-14-2021
Magán,39.9683,-3.931,72.0,41,9,8.9,ES,05-14-2021
Porto de Moz,-1.7483,-52.2383,86.07,62,84,1.99,BR,05-14-2021
Rawson,-43.3002,-65.1023,58.28,49,100,3.27,AR,05-14-2021
Alugan,12.2188,125.4808,80.98,83,77,9.08,PH,05-14-2021
Lata,40.1629,-8.3327,73.0,50,87,9.62,PT,05-14-2021
Haines Junction,60.7522,-137.5108,33.8,100,84,1.14,CA,05-14-2021
Havøysund,70.9963,24.6622,37.4,60,75,11.5,NO,05-14-2021
Andijan,40.7821,72.3442,73.4,35,40,4.47,UZ,05-14-2021
Inhambane,-23.865,35.3833,78.8,57,20,9.22,MZ,05-14-2021
Aras,42.5617,-2.356,66.2,39,20,8.05,ES,05-14-2021
Sechura,-5.5569,-80.8222,73.72,67,7,9.78,PE,05-14-2021
Graciano Sánchez,23.9167,-99.2833,69.8,100,75,4.61,MX,05-14-2021
Svarstad,59.399,9.9698,66.0,25,83,3.0,NO,05-14-2021
Constitución,-35.3333,-72.4167,59.59,65,100,7.54,CL,05-14-2021
Kazygurt,41.7589,69.3864,80.6,22,0,16.11,KZ,05-14-2021
Marystown,47.1666,-55.1483,46.87,65,21,12.91,CA,05-14-2021
Denpasar,-8.65,115.2167,82.4,83,20,14.97,ID,05-14-2021
Ulaangom,49.9811,92.0667,56.44,41,99,1.61,MN,05-14-2021
Dingzhou,38.5131,114.9956,68.0,88,15,4.47,CN,05-14-2021
Katsuura,35.1333,140.3,66.2,94,75,6.91,JP,05-14-2021
Acapulco de Juárez,16.8634,-99.8901,84.2,65,75,3.44,MX,05-14-2021
Buctzotz,21.2,-88.7833,87.3,53,98,6.42,MX,05-14-2021
Charters Towers,-20.1,146.2667,64.31,71,3,6.55,AU,05-14-2021
São João da Barra,-21.6403,-41.0511,77.0,61,40,7.49,BR,05-14-2021
Pareora,-44.4871,171.2132,50.74,55,100,7.87,NZ,05-14-2021
San Vicente,-26.6167,-54.1333,65.84,54,100,2.21,AR,05-14-2021
Kabelvåg,68.2114,14.4817,50.0,53,0,14.97,NO,05-14-2021
Macapá,0.0389,-51.0664,86.0,74,75,5.75,BR,05-14-2021
Saint-Augustin,51.226,-58.6502,45.82,60,97,10.92,CA,05-14-2021
Hualmay,-11.0964,-77.6139,68.41,74,47,6.35,PE,05-14-2021
Cosalá,24.4125,-106.6908,81.0,85,84,1.99,MX,05-14-2021
Indian Head,38.6001,-77.1622,69.01,37,1,4.32,US,05-14-2021
Koboko,3.4136,30.9599,71.6,81,89,3.24,UG,05-14-2021
Bandarbeyla,9.4942,50.8122,92.28,52,40,25.03,SO,05-14-2021
Bedelē,8.456,36.353,66.76,75,40,4.83,ET,05-14-2021
Sola,-13.8833,167.55,81.43,74,93,8.5,VU,05-14-2021
Juegang,32.3174,121.1855,69.13,97,100,7.14,CN,05-14-2021
Zambezi,-13.5432,23.1047,79.9,36,4,2.17,ZM,05-14-2021
Kadirli,37.3739,36.0961,73.99,77,90,5.99,TR,05-14-2021
Coahuayana Viejo,18.7333,-103.6833,77.0,69,90,9.22,MX,05-14-2021
Pingliang,35.5392,106.6861,52.05,82,100,18.88,CN,05-14-2021
Maţāy,28.419,30.7792,95.61,10,0,21.14,EG,05-14-2021
Piopio,-38.4667,175.0167,48.65,99,100,4.63,NZ,05-14-2021
Puerto Carreño,6.189,-67.4859,87.91,52,100,5.88,CO,05-14-2021
Saint-François,46.4154,3.9054,57.99,51,0,14.97,FR,05-14-2021
Bam,29.106,58.357,79.21,27,85,16.33,IR,05-14-2021
Wanning,18.8003,110.3967,82.02,89,47,8.84,CN,05-14-2021
Langsa,4.4683,97.9683,76.35,94,84,1.43,ID,05-14-2021
Samaná,19.2056,-69.3369,82.4,78,75,4.61,DO,05-14-2021
Yekepa,7.5753,-8.5419,84.47,61,81,4.63,LR,05-14-2021
Cayenne,4.9333,-52.3333,77.0,94,75,2.3,GF,05-14-2021
Upata,8.0086,-62.3989,85.55,47,100,7.72,VE,05-14-2021
Guerrero Negro,27.9769,-114.0611,61.05,83,31,14.14,MX,05-14-2021
Bontang,0.1333,117.5,79.11,86,85,3.87,ID,05-14-2021
Baiyin,36.5583,104.2081,48.2,66,75,6.71,CN,05-14-2021
Aswān,24.0934,32.907,99.55,6,0,13.27,EG,05-14-2021
Raudeberg,61.9875,5.1352,60.8,67,75,6.91,NO,05-14-2021
Hamilton,39.1834,-84.5333,66.99,41,1,4.61,US,05-14-2021
Ambilobe,-13.2,49.05,75.47,80,100,0.54,MG,05-14-2021
Yar-Sale,66.8333,70.8333,33.75,80,100,14.72,RU,05-14-2021
Otane,-39.8833,176.6333,46.0,89,100,3.0,NZ,05-14-2021
Zyryanka,65.75,150.85,24.85,93,80,0.87,RU,05-14-2021
Hofn,64.2539,-15.2082,44.6,45,40,19.57,IS,05-14-2021
Rudnya,54.947,31.0934,68.0,49,75,13.42,RU,05-14-2021
Vilyuysk,63.7553,121.6247,45.79,47,53,3.47,RU,05-14-2021
Kupang,-10.1667,123.5833,78.08,70,97,12.1,ID,05-14-2021
Bassar,9.25,0.7833,91.4,43,40,3.44,TG,05-14-2021
Kalmar,56.6616,16.3616,57.2,67,75,12.66,SE,05-14-2021
Farmington,36.7281,-108.2187,59.0,24,1,9.22,US,05-14-2021
Elk River,45.3038,-93.5672,60.01,41,100,11.07,US,05-14-2021
Wanxian,30.8039,108.3897,76.21,83,22,3.58,CN,05-14-2021
Bulnes,-36.7423,-72.2985,55.0,100,90,2.3,CL,05-14-2021
Whitianga,-36.8333,175.7,64.0,97,100,8.01,NZ,05-14-2021
Tautira,-17.7333,-149.15,78.8,83,75,4.61,PF,05-14-2021
Camaná,-16.6228,-72.7111,71.19,68,33,8.39,PE,05-14-2021
Vokhtoga,58.8147,41.0461,65.35,64,73,4.63,RU,05-14-2021
Nābha,30.3747,76.1486,90.28,26,0,4.74,IN,05-14-2021
Acarí,-15.4311,-74.6158,76.75,55,35,7.09,PE,05-14-2021
Madimba,-10.4,40.3333,78.03,79,96,11.12,TZ,05-14-2021
Laxou,48.6832,6.148,59.0,67,64,10.36,FR,05-14-2021
Yamoussoukro,6.8206,-5.2767,95.0,46,75,4.61,CI,05-14-2021
Mount Isa,-20.7333,139.5,62.6,25,0,6.91,AU,05-14-2021
Santa Rosalía,27.3167,-112.2833,81.03,44,26,5.79,MX,05-14-2021
Villazón,-22.0866,-65.5942,50.45,23,0,2.17,BO,05-14-2021
Kirakira,-10.4544,161.9205,79.63,82,14,1.66,SB,05-14-2021
Koumac,-20.5667,164.2833,75.56,84,14,10.96,NC,05-14-2021
Saint Anthony,45.0205,-93.218,62.01,31,75,8.05,US,05-14-2021
Mudgee,-32.5943,149.5871,51.8,66,90,5.75,AU,05-14-2021
Nhulunbuy,-12.2333,136.7667,77.0,73,3,6.91,AU,05-14-2021
Wukari,7.85,9.7833,86.29,61,81,7.4,NG,05-14-2021
Two Hills,53.7169,-111.7518,51.8,82,36,1.14,CA,05-14-2021
Örnsköldsvik,63.2909,18.7153,53.6,71,90,6.91,SE,05-14-2021
Humboldt,40.6665,-123.9178,48.99,100,90,9.22,US,05-14-2021
Khirkiya,22.1674,76.8605,99.23,16,78,6.31,IN,05-14-2021
Saldanha,-33.0117,17.9442,69.8,60,3,9.22,ZA,05-14-2021
Shenjiamen,29.9576,122.298,69.12,97,86,16.13,CN,05-14-2021
Zaraza,9.3503,-65.3245,91.17,41,17,6.55,VE,05-14-2021
Ascension,30.2169,-90.9001,73.0,68,1,7.23,US,05-14-2021
Lagoa,39.05,-27.9833,64.45,89,44,25.64,PT,05-14-2021
Ambovombe,-25.1667,46.0833,73.02,80,0,12.86,MG,05-14-2021
Pathein,16.7833,94.7333,84.67,74,11,8.3,MM,05-14-2021
Přerov,49.4551,17.4509,54.0,93,100,3.0,CZ,05-14-2021
Salta,-24.7859,-65.4117,57.99,71,20,1.14,AR,05-14-2021
São Félix do Xingu,-6.6447,-51.995,89.1,44,44,5.03,BR,05-14-2021
St-Jean-Port-Joli,47.2171,-70.2658,57.2,38,4,4.61,CA,05-14-2021
Helong,42.5397,128.9972,57.51,86,88,3.83,CN,05-14-2021
Umluj,25.0213,37.2685,84.07,54,0,8.12,SA,05-14-2021
Najrān,17.4924,44.1277,96.8,14,20,6.91,SA,05-14-2021
Šibenik,43.7272,15.9058,68.0,56,20,6.91,HR,05-14-2021
Loreto,22.2667,-101.9667,64.42,59,12,8.25,MX,05-14-2021
Coquimbo,-29.9533,-71.3436,57.2,82,0,5.75,CL,05-14-2021
Ketchikan,55.3422,-131.6461,46.4,81,90,3.44,US,05-14-2021
Eyl,7.9803,49.8164,91.56,49,69,16.75,SO,05-14-2021
Mindelo,16.8901,-24.9804,80.6,57,20,28.77,CV,05-14-2021
Sala Consilina,40.3912,15.5989,66.99,52,80,5.99,IT,05-14-2021
Falmouth,50.1544,-5.0711,55.99,76,100,8.05,GB,05-14-2021
Progreso,21.2833,-89.6667,84.0,74,90,9.22,MX,05-14-2021
Terrell,32.736,-96.2753,64.99,63,90,6.91,US,05-14-2021
Barkot,30.8167,78.2,64.78,60,0,3.74,IN,05-14-2021
Flinders,-34.5833,150.8552,55.0,61,2,4.0,AU,05-14-2021
Markala,13.7021,-6.0659,109.49,5,19,11.41,ML,05-14-2021
Mabaruma,8.2,-59.7833,82.98,69,100,6.58,GY,05-14-2021
Claremore,36.3126,-95.6161,63.0,59,90,6.91,US,05-14-2021
Cabedelo,-6.9811,-34.8339,75.2,94,75,10.36,BR,05-14-2021
Santa Barbara,34.7333,-120.0343,52.0,93,90,2.86,US,05-14-2021
Rovaniemi,66.5,25.7167,46.4,66,0,14.97,FI,05-14-2021
Nichinan,31.6,131.3667,69.1,97,100,3.89,JP,05-14-2021
Banjar,-8.19,114.9675,82.4,83,20,14.97,ID,05-14-2021
Alford,57.2326,-2.703,51.01,70,100,1.99,GB,05-14-2021
Chase,50.8165,-119.6857,55.0,81,12,2.3,CA,05-14-2021
Fonte Boa,-2.4959,-66.2662,78.39,89,98,3.78,BR,05-14-2021
Pavlodar,52.3,76.95,62.6,29,0,8.95,KZ,05-14-2021
Prainha,-1.8,-53.48,82.53,68,99,3.15,BR,05-14-2021
Alice Springs,-23.7,133.8833,55.4,71,0,8.05,AU,05-14-2021
Anloga,5.7947,0.8973,91.4,55,20,9.22,GH,05-14-2021
Mazamari,-11.3258,-74.5308,73.13,89,98,1.01,PE,05-14-2021
Aklavik,68.2191,-135.0107,32.0,86,75,8.05,CA,05-14-2021
Lakes Entrance,-37.8811,147.981,46.0,92,66,9.42,AU,05-14-2021
Pauini,-7.7136,-66.9764,85.73,60,43,3.44,BR,05-14-2021
Malpe,13.35,74.7167,82.4,69,75,9.22,IN,05-14-2021
Kieta,-6.2167,155.6333,79.03,83,6,3.67,PG,05-14-2021
Veere,51.5483,3.6667,55.4,76,44,9.22,NL,05-14-2021
Selikhino,50.3672,137.4996,49.69,79,100,5.08,RU,05-14-2021
Biloela,-24.4167,150.5,55.62,57,0,6.35,AU,05-14-2021
Serenje,-13.2325,30.2352,67.37,55,3,8.19,ZM,05-14-2021
Skjervøy,70.0311,20.9714,42.8,52,75,10.36,NO,05-14-2021
Sarāhan,31.5167,77.8,53.42,58,2,6.33,IN,05-14-2021
Bosaso,11.2842,49.1816,87.8,84,0,13.8,SO,05-14-2021
Morondava,-20.2833,44.2833,78.8,70,2,10.18,MG,05-14-2021
Aksarka,66.5606,67.7975,36.19,77,98,14.43,RU,05-14-2021
Gemeente Hoogeveen,52.6833,6.5833,57.0,72,100,7.52,NL,05-14-2021
Adrar,20.5022,-10.0711,96.03,8,0,11.86,MR,05-14-2021
La Tuque,47.4334,-72.7824,57.2,58,5,4.61,CA,05-14-2021
Kapchorwa,1.3965,34.4509,67.71,70,89,2.51,UG,05-14-2021
Camaçari,-12.6975,-38.3242,82.4,57,75,12.66,BR,05-14-2021
Ternate,0.8,127.4,81.55,79,93,1.83,ID,05-14-2021
Iquitos,-3.7481,-73.2472,78.8,89,75,3.44,PE,05-14-2021
Beloha,-25.1667,45.05,74.16,60,0,10.71,MG,05-14-2021
Kidal,18.4411,1.4078,109.08,7,46,9.33,ML,05-14-2021
